name                                                         ,type            ,longitude ,latitude ,source_file
"Feature-Barhabise to TshoRolpa (Line 9, Point 30)"          ,MultiLineString ,  86.1577 , 27.8458 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 31)"          ,MultiLineString ,  86.1558 , 27.8435 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 32)"          ,MultiLineString ,  86.1537 , 27.843  ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 33)"          ,MultiLineString ,  86.1516 , 27.8439 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 34)"          ,MultiLineString ,  86.1491 , 27.8435 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 35)"          ,MultiLineString ,  86.1453 , 27.841  ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 36)"          ,MultiLineString ,  86.1436 , 27.8415 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 37)"          ,MultiLineString ,  86.1421 , 27.8401 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 38)"          ,MultiLineString ,  86.1401 , 27.8386 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 39)"          ,MultiLineString ,  86.1372 , 27.8371 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 40)"          ,MultiLineString ,  86.1348 , 27.8359 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 41)"          ,MultiLineString ,  86.1323 , 27.8339 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 42)"          ,MultiLineString ,  86.1299 , 27.8325 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 43)"          ,MultiLineString ,  86.128  , 27.8315 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 44)"          ,MultiLineString ,  86.1268 , 27.8305 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 45)"          ,MultiLineString ,  86.1232 , 27.8291 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 9, Point 46)"          ,MultiLineString ,  86.1214 , 27.8289 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 1)"          ,MultiLineString ,  86.2195 , 27.8759 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 2)"          ,MultiLineString ,  86.2225 , 27.8766 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 3)"          ,MultiLineString ,  86.224  , 27.8762 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 4)"          ,MultiLineString ,  86.2257 , 27.8753 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 5)"          ,MultiLineString ,  86.2273 , 27.8761 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 6)"          ,MultiLineString ,  86.2281 , 27.8744 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 7)"          ,MultiLineString ,  86.2291 , 27.8735 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 10, Point 8)"          ,MultiLineString ,  86.2309 , 27.8731 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 11, Point 1)"          ,MultiLineString ,  86.2205 , 27.876  ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 11, Point 2)"          ,MultiLineString ,  86.2195 , 27.8759 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 1)"       ,MultiLineString ,  86.1772 , 27.6827 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 2)"       ,MultiLineString ,  86.1791 , 27.6813 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 3)"       ,MultiLineString ,  86.1812 , 27.6803 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 4)"       ,MultiLineString ,  86.1818 , 27.6783 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 5)"       ,MultiLineString ,  86.1836 , 27.6755 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 6)"       ,MultiLineString ,  86.185  , 27.6737 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 7)"       ,MultiLineString ,  86.1852 , 27.6712 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 8)"       ,MultiLineString ,  86.1854 , 27.6689 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 9)"       ,MultiLineString ,  86.1877 , 27.6681 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 10)"      ,MultiLineString ,  86.1891 , 27.6671 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 11)"      ,MultiLineString ,  86.1913 , 27.6654 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 12)"      ,MultiLineString ,  86.1928 , 27.6654 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 13)"      ,MultiLineString ,  86.1939 , 27.6634 ,dataset/raw/GairiHanumante to Simigaun.json
"Feature-GairiHanumante to Simigaun (Line 1, Point 14)"      ,MultiLineString ,  86.1969 , 27.6612 ,dataset/raw/GairiHanumante to Simigaun.json
